Jan 05, 2021 9:51:24 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\fangwainam\WIF3006_OSGI_Project\karaf-runtime\lock
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 05, 2021 9:51:24 AM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2021-01-05T09:51:25,325 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 6 - org.ops4j.pax.logging.pax-logging-log4j2 - 1.11.7 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2021-01-05T09:51:26,063 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.10
2021-01-05T09:51:26,063 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.10
2021-01-05T09:51:26,063 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.10
2021-01-05T09:51:26,064 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.2.10
2021-01-05T09:51:26,064 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.2.10
2021-01-05T09:51:26,064 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.10
2021-01-05T09:51:26,064 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf/org.apache.karaf.event/4.2.10
2021-01-05T09:51:26,064 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.10
2021-01-05T09:51:26,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.2.10
2021-01-05T09:51:26,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.10
2021-01-05T09:51:26,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.10
2021-01-05T09:51:26,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.10
2021-01-05T09:51:26,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.2.10
2021-01-05T09:51:26,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.10
2021-01-05T09:51:26,065 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.2.10
2021-01-05T09:51:26,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.2.10
2021-01-05T09:51:26,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.2.10
2021-01-05T09:51:26,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.10
2021-01-05T09:51:26,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.10
2021-01-05T09:51:26,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.10
2021-01-05T09:51:26,066 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.2.10
2021-01-05T09:51:26,067 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2021-01-05T09:51:26,067 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.sshd/sshd-osgi/2.5.1
2021-01-05T09:51:26,067 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.sshd/sshd-scp/2.5.1
2021-01-05T09:51:26,067 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.apache.sshd/sshd-sftp/2.5.1
2021-01-05T09:51:26,067 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.jline/jline-builtins/3.16.0
2021-01-05T09:51:26,067 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.jline/jline-reader/3.16.0
2021-01-05T09:51:26,068 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.jline/jline-terminal/3.16.0
2021-01-05T09:51:26,068 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.jline/jline-terminal-jansi/3.16.0
2021-01-05T09:51:26,068 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2021-01-05T09:51:26,071 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 | Installing bundles:
2021-01-05T09:51:26,071 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.bouncycastle/bcpkix-jdk15on/1.66
2021-01-05T09:51:26,083 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.bouncycastle/bcprov-jdk15on/1.66
2021-01-05T09:51:26,118 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.api/1.1.5
2021-01-05T09:51:26,122 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.core/1.1.8
2021-01-05T09:51:26,127 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.aries.jmx/org.apache.aries.jmx.whiteboard/1.2.0
2021-01-05T09:51:26,132 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.aries/org.apache.aries.util/1.1.3
2021-01-05T09:51:26,137 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.bundle/org.apache.karaf.bundle.core/4.2.10
2021-01-05T09:51:26,142 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.config/org.apache.karaf.config.core/4.2.10
2021-01-05T09:51:26,147 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.features/4.2.10
2021-01-05T09:51:26,152 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.kar/4.2.10
2021-01-05T09:51:26,157 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.deployer/org.apache.karaf.deployer.wrap/4.2.10
2021-01-05T09:51:26,162 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.diagnostic/org.apache.karaf.diagnostic.core/4.2.10
2021-01-05T09:51:26,167 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf/org.apache.karaf.event/4.2.10
2021-01-05T09:51:26,172 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.features/org.apache.karaf.features.command/4.2.10
2021-01-05T09:51:26,176 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.instance/org.apache.karaf.instance.core/4.2.10
2021-01-05T09:51:26,182 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.command/4.2.10
2021-01-05T09:51:26,187 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.config/4.2.10
2021-01-05T09:51:26,193 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.jaas/org.apache.karaf.jaas.modules/4.2.10
2021-01-05T09:51:26,204 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.kar/org.apache.karaf.kar.core/4.2.10
2021-01-05T09:51:26,210 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.log/org.apache.karaf.log.core/4.2.10
2021-01-05T09:51:26,215 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.management/org.apache.karaf.management.server/4.2.10
2021-01-05T09:51:26,221 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.package/org.apache.karaf.package.core/4.2.10
2021-01-05T09:51:26,226 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.service/org.apache.karaf.service.core/4.2.10
2021-01-05T09:51:26,231 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.commands/4.2.10
2021-01-05T09:51:26,237 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.core/4.2.10
2021-01-05T09:51:26,246 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.2.10
2021-01-05T09:51:26,252 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.2.10
2021-01-05T09:51:26,257 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2021-01-05T09:51:26,263 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.sshd/sshd-osgi/2.5.1
2021-01-05T09:51:26,276 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.sshd/sshd-scp/2.5.1
2021-01-05T09:51:26,282 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.apache.sshd/sshd-sftp/2.5.1
2021-01-05T09:51:26,289 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.jline/jline-builtins/3.16.0
2021-01-05T09:51:26,296 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.jline/jline-reader/3.16.0
2021-01-05T09:51:26,302 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.jline/jline-terminal/3.16.0
2021-01-05T09:51:26,308 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.jline/jline-terminal-jansi/3.16.0
2021-01-05T09:51:26,313 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.2/jar/uber
2021-01-05T09:51:26,499 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 | Starting bundles:
2021-01-05T09:51:26,501 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.ops4j.pax.url.wrap/2.6.2
2021-01-05T09:51:26,507 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.aries.util/1.1.3
2021-01-05T09:51:26,508 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.deployer.kar/4.2.10
2021-01-05T09:51:26,514 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.deployer.wrap/4.2.10
2021-01-05T09:51:26,521 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.deployer.features/4.2.10
2021-01-05T09:51:26,537 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.jline.terminal/3.16.0
2021-01-05T09:51:26,539 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.jline.reader/3.16.0
2021-01-05T09:51:26,541 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.jline.builtins/3.16.0
2021-01-05T09:51:26,543 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.shell.core/4.2.10
2021-01-05T09:51:26,582 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.deployer.kar/4.2.10
2021-01-05T09:51:26,767 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.bundle.core/4.2.10
2021-01-05T09:51:26,823 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.bundle.core/4.2.10
2021-01-05T09:51:26,825 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11.1
2021-01-05T09:51:26,826 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.jaas.config/4.2.10
2021-01-05T09:51:26,834 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.jaas.modules/4.2.10
2021-01-05T09:51:26,846 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   bcprov/1.66.0
2021-01-05T09:51:26,848 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   bcpkix/1.66.0
2021-01-05T09:51:26,849 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.sshd.osgi/2.5.1
2021-01-05T09:51:26,850 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.sshd.scp/2.5.1
2021-01-05T09:51:26,851 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.sshd.sftp/2.5.1
2021-01-05T09:51:26,852 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.shell.ssh/4.2.10
2021-01-05T09:51:26,962 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.2.10. Missing service: [org.apache.sshd.server.SshServer]
2021-01-05T09:51:26,962 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.aries.jmx.api/1.1.5
2021-01-05T09:51:26,963 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.aries.jmx.core/1.1.8
2021-01-05T09:51:26,968 | INFO  | features-3-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Starting JMX OSGi agent
2021-01-05T09:51:26,989 | INFO  | features-3-thread-1 | core                             | 15 - org.apache.aries.jmx.core - 1.1.8 | Registering MBean with ObjectName [osgi.compendium:service=cm,version=1.3,framework=org.apache.felix.framework,uuid=06cf52f4-6bd6-4975-a82b-f000785e39c5] for service with service.id [15]
2021-01-05T09:51:26,991 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.config.core/4.2.10
2021-01-05T09:51:27,013 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.config.core/4.2.10
2021-01-05T09:51:27,063 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.log.core/4.2.10
2021-01-05T09:51:27,096 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Command registration delayed for bundle org.apache.karaf.log.core/4.2.10. Missing service: [org.apache.karaf.log.core.LogService, org.apache.karaf.log.core.LogEventFormatter]
2021-01-05T09:51:27,101 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.shell.commands/4.2.10
2021-01-05T09:51:27,116 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.shell.commands/4.2.10
2021-01-05T09:51:27,117 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.system.core/4.2.10
2021-01-05T09:51:27,130 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.system.core/4.2.10
2021-01-05T09:51:27,130 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.package.core/4.2.10
2021-01-05T09:51:27,160 | INFO  | activator-1-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.log.core/4.2.10
2021-01-05T09:51:27,189 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.package.core/4.2.10
2021-01-05T09:51:27,189 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.management.server/4.2.10
2021-01-05T09:51:27,196 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.features.command/4.2.10
2021-01-05T09:51:27,213 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.features.command/4.2.10
2021-01-05T09:51:27,216 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.kar.core/4.2.10
2021-01-05T09:51:27,233 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Command registration delayed for bundle org.apache.karaf.kar.core/4.2.10. Missing service: [org.apache.karaf.kar.KarService]
2021-01-05T09:51:27,233 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.diagnostic.core/4.2.10
2021-01-05T09:51:27,240 | INFO  | activator-1-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.shell.ssh/4.2.10
2021-01-05T09:51:27,243 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.diagnostic.core/4.2.10
2021-01-05T09:51:27,244 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 11 - org.apache.karaf.features.core - 4.2.10 |   org.apache.karaf.jaas.command/4.2.10
2021-01-05T09:51:27,247 | INFO  | activator-1-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.kar.core/4.2.10
2021-01-05T09:51:27,254 | INFO  | activator-1-thread-1 | DefaultIoServiceFactoryFactory   | 40 - org.apache.sshd.osgi - 2.5.1 | No detected/configured IoServiceFactoryFactory using Nio2ServiceFactoryFactory
2021-01-05T09:51:27,291 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Registering commands for bundle org.apache.karaf.jaas.command/4.2.10
2021-01-05T09:51:27,293 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.10
2021-01-05T09:51:27,295 | INFO  | features-3-thread-1 | CommandExtension                 | 36 - org.apache.karaf.shell.core - 4.2.10 | Updating commands for bundle org.apache.karaf.jaas.command/4.2.10
